id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,price_group,price_per_sqft,price_per_sqft_normalized,avg_price_per_sqft,age,price_category
7129300520,2014-10-13,221900.0,3.0,1.0,1180.0,5650.0,1.0,0,0,3,7,1180,0,1955,0,98178,1340,5650,0,188.05084745762713,-0.7010697007665495,190.9719074836264,60,low
6414100192,2014-12-09,538000.0,3.0,2.25,2570.0,7242.0,2.0,0,0,3,7,2170,400,1951,1991,98125,1690,7639,2,209.3385214007782,-0.49683417533716573,280.1742413460567,64,high
5631500400,2015-02-25,180000.0,2.0,1.0,770.0,10000.0,1.0,0,0,3,6,770,0,1933,0,98028,2720,8062,0,233.76623376623377,-0.262472887987507,225.0815358226848,82,low
2487200875,2014-12-09,604000.0,4.0,3.0,1960.0,5000.0,1.0,0,0,5,7,1050,910,1965,0,98136,1360,5000,2,308.16326530612247,0.4512977601120786,334.52422145236267,50,high
1954400510,2015-02-18,510000.0,3.0,2.0,1680.0,8080.0,1.0,0,0,3,8,1680,0,1987,0,98074,1800,7503,2,303.57142857142856,0.4072433373179019,264.16304583622986,28,high
7237550310,2014-05-12,1225000.0,4.0,4.5,5420.0,101930.0,1.0,0,0,3,11,3890,1530,2001,0,98053,4760,101930,3,226.01476014760146,-0.33684110179898913,269.9796257156553,14,luxury
1321400060,2014-06-27,257500.0,3.0,2.25,1715.0,6819.0,2.0,0,0,3,7,1715,0,1995,0,98003,2238,6819,0,150.14577259475217,-1.064733805249421,158.81024783622507,20,low
2008000270,2015-01-15,291850.0,3.0,1.5,1060.0,9711.0,1.0,0,0,3,7,1060,0,1963,0,98198,1650,9711,0,275.3301886792453,0.13629478354164345,180.73876186446142,52,low
2414600126,2015-04-15,229500.0,3.0,1.0,1780.0,7470.0,1.0,0,0,3,7,1050,730,1960,0,98146,1780,8113,0,128.93258426966293,-1.2682547101250319,230.2240331909226,55,low
3793500160,2015-03-12,323000.0,3.0,2.5,1890.0,6560.0,2.0,0,0,3,7,1890,0,2003,0,98038,2390,7570,0,170.8994708994709,-0.8656212817681578,174.9258638223508,12,low
1736800520,2015-04-03,662500.0,3.0,2.5,2902.0,9796.0,1.0,0,0,3,8,1860,1700,1965,0,98007,2210,8925,3,228.2908339076499,-0.31500428103872546,289.10718250175967,50,luxury
9212900260,2014-05-27,468000.0,2.0,1.0,1160.0,6000.0,1.0,0,0,4,7,860,300,1942,0,98115,1330,6000,2,403.44827586206895,1.3654692308142218,347.0311825531686,73,high
114101516,2014-05-28,310000.0,3.0,1.0,1497.0,19901.0,1.5,0,0,4,7,1430,0,1927,0,98028,1780,12697,0,207.08082832331328,-0.5184946504630863,225.0815358226848,88,low
6054650070,2014-10-07,400000.0,3.0,1.75,1370.0,9680.0,1.0,0,0,4,7,1370,0,1977,0,98074,1370,10208,1,291.97080291970804,0.2959460729189893,264.16304583622986,38,medium
1175000570,2015-03-12,530000.0,5.0,2.0,1810.0,4850.0,1.5,0,0,3,7,1810,0,1900,0,98107,1360,4850,2,292.81767955801104,0.3040710703075993,371.4434797111743,115,high
9297300055,2015-01-24,650000.0,4.0,3.0,2950.0,5000.0,2.0,0,3,3,9,1980,970,1979,0,98126,2140,4000,3,220.33898305084745,-0.39129492896071943,290.3224347790731,36,luxury
1875500060,2014-07-31,395000.0,3.0,2.0,1890.0,14040.0,2.0,0,0,3,7,1890,0,1994,0,98019,1890,14018,1,208.994708994709,-0.5001327371053611,204.21139419767553,21,medium
6865200140,2014-05-29,485000.0,4.0,1.0,1600.0,4300.0,1.5,0,0,4,7,1600,0,1916,0,98103,1610,4300,2,303.125,0.4029602684351349,364.66372141764197,99,high
16000397,2014-12-05,189000.0,3.0,1.0,1200.0,9850.0,1.0,0,0,4,7,1200,0,1921,0,98002,1060,5095,0,157.5,-0.9941768011235098,152.39526744006275,94,low
7983200060,2015-04-24,230000.0,3.0,1.0,1250.0,9774.0,1.0,0,0,4,7,1250,0,1969,0,98003,1280,8850,0,184.0,-0.7399338322424517,158.81024783622507,46,low
6300500875,2014-05-14,385000.0,4.0,1.75,1620.0,4980.0,1.0,0,0,4,7,860,760,1947,0,98133,1400,4980,1,237.65432098765433,-0.22517029031043276,251.699596058564,68,medium
7137970340,2014-07-03,285000.0,5.0,2.5,2270.0,6300.0,2.0,0,0,3,8,2270,0,1995,0,98092,2240,7005,0,125.55066079295155,-1.300701135228717,159.35825135307934,20,low
