id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,price_category
7129300520,2014-10-13,221900.0,3.0,1.0,1180.0,5650.0,1.0,0,3,1180,0,1955,0,98178,1340,5650,low
6414100192,2014-12-09,538000.0,3.0,2.25,2570.0,7242.0,2.0,0,3,2170,400,1951,1991,98125,1690,7639,high
5631500400,2015-02-25,180000.0,2.0,1.0,770.0,10000.0,1.0,0,3,770,0,1933,0,98028,2720,8062,low
2487200875,2014-12-09,604000.0,4.0,3.0,1960.0,5000.0,1.0,0,5,1050,910,1965,0,98136,1360,5000,high
1954400510,2015-02-18,510000.0,3.0,2.0,1680.0,8080.0,1.0,0,3,1680,0,1987,0,98074,1800,7503,high
7237550310,2014-05-12,1225000.0,4.0,4.5,5420.0,101930.0,1.0,0,3,3890,1530,2001,0,98053,4760,101930,luxury
1321400060,2014-06-27,257500.0,3.0,2.25,1715.0,6819.0,2.0,0,3,1715,0,1995,0,98003,2238,6819,medium
2008000270,2015-01-15,291850.0,3.0,1.5,1060.0,9711.0,1.0,0,3,1060,0,1963,0,98198,1650,9711,medium
2414600126,2015-04-15,229500.0,3.0,1.0,1780.0,7470.0,1.0,0,3,1050,730,1960,0,98146,1780,8113,low
3793500160,2015-03-12,323000.0,3.0,2.5,1890.0,6560.0,2.0,0,3,1890,0,2003,0,98038,2390,7570,medium
1736800520,2015-04-03,662500.0,3.0,2.5,,9796.0,1.0,0,3,1860,1700,1965,0,98007,2210,8925,high
9212900260,2014-05-27,468000.0,2.0,1.0,1160.0,6000.0,1.0,0,4,860,300,1942,0,98115,1330,6000,medium
114101516,2014-05-28,310000.0,3.0,1.0,,19901.0,1.5,0,4,1430,0,1927,0,98028,1780,12697,medium
6054650070,2014-10-07,400000.0,3.0,1.75,1370.0,9680.0,1.0,0,4,1370,0,1977,0,98074,1370,10208,medium
1175000570,2015-03-12,530000.0,5.0,2.0,1810.0,4850.0,1.5,0,3,1810,0,1900,0,98107,1360,4850,high
9297300055,2015-01-24,650000.0,4.0,3.0,2950.0,5000.0,2.0,0,3,1980,970,1979,0,98126,2140,4000,high
1875500060,2014-07-31,395000.0,3.0,2.0,1890.0,14040.0,2.0,0,3,1890,0,1994,0,98019,1890,14018,medium
6865200140,2014-05-29,485000.0,4.0,1.0,1600.0,4300.0,1.5,0,4,1600,0,1916,0,98103,1610,4300,medium
16000397,2014-12-05,189000.0,,1.0,1200.0,9850.0,1.0,0,4,1200,0,1921,0,98002,1060,5095,low
7983200060,2015-04-24,230000.0,3.0,1.0,1250.0,9774.0,1.0,0,4,1250,0,1969,0,98003,1280,8850,low
6300500875,2014-05-14,385000.0,4.0,1.75,1620.0,4980.0,1.0,0,4,860,760,1947,0,98133,1400,4980,medium
2524049179,2014-08-26,2000000.0,3.0,2.75,3050.0,44867.0,1.0,0,3,2330,720,1968,0,98040,4110,20336,luxury
7137970340,2014-07-03,285000.0,5.0,2.5,2270.0,6300.0,2.0,0,3,2270,0,1995,0,98092,2240,7005,medium
8091400200,2014-05-16,252700.0,,1.5,,,1.0,0,3,1070,0,1985,0,98030,1220,8386,medium
3814700200,2014-11-20,329000.0,3.0,,2450.0,6500.0,2.0,0,4,2450,0,1985,0,98030,2200,6865,medium
1202000200,2014-11-03,233000.0,3.0,2.0,1710.0,4697.0,1.5,0,5,1710,0,1941,0,98002,1030,4705,low
1794500383,2014-06-26,937000.0,3.0,,2450.0,2691.0,2.0,0,3,1750,700,1915,0,98119,1760,3573,very high
3303700376,2014-12-01,667000.0,3.0,1.0,1400.0,1581.0,1.5,0,5,1400,0,1909,0,98112,1860,3861,high
5101402488,2014-06-24,438000.0,3.0,1.75,1520.0,6380.0,1.0,0,3,790,730,1948,0,98115,1520,6235,medium
1873100390,2015-03-02,719000.0,4.0,2.5,2570.0,7173.0,2.0,0,3,2570,0,2005,0,98052,2630,6026,high
8562750320,2014-11-10,580500.0,3.0,2.5,2320.0,3980.0,2.0,0,3,2320,0,2003,0,98027,2580,3980,high
2426039314,2014-12-01,280000.0,,1.5,1190.0,1265.0,3.0,0,3,1190,0,2005,0,98133,1390,1756,medium
461000390,2014-06-24,687500.0,,1.75,,5000.0,1.5,0,4,1510,820,1929,0,98117,1460,5000,high
7589200193,2014-11-10,535000.0,3.0,1.0,1090.0,3000.0,1.5,0,4,1090,0,1929,0,98117,1570,5080,high
